годы,всего,мужчины,женщины,процент мужчины,процент женщины
1926,"92,7","44,0","48,7",47,53
1939,"108,4","51,1","57,3",47,53
1959,"117,2","52,2","65,0",45,55
1970,"129,9","59,1","70,8",45,55
1979,"137,4","63,2","74,2",46,54
1989,"147,0","68,7","78,3",47,53
1991,"148,3","69,5","78,8",47,53
1996,"148,3","69,5","78,8",47,53
2001,"146,3","68,3","78,0",47,53
2002,"145,2","67,6","77,6",47,53
2003,"145,0","67,5","77,5",47,53
2004,"144,3","67,0","77,3",46,54
2005,"143,8","66,7","77,1",46,54
2006,"143,2","66,3","76,9",46,54
2007,"142,8","66,0","76,8",46,54
2008,"142,8","66,0","76,8",46,54
2009,"142,7","65,9","76,8",46,54
2010,"142,9","66,1","76,8",46,54
2011,"142,9","66,1","76,8",46,54
2012,"143,0","66,1","76,9",46,54
2013,"143,3","66,3","77,0",46,54
2014,"143,7","66,6","77,1",46,54
2015,"146,3","67,8","78,5",46,54
2016,"146,5","67,9","78,6",46,54
2017,"146,8","68,1","78,7",46,54
2018,"146,9","68,1","78,8",46,54
2019,"146,8","68,1","78,7",46,54
2020,"146,7","68,1","78,6",46,54